숙소명,시군구명,포함된_고유명사,포함된_고유명사(TF-IDF),장애인편의시설
서퍼스파라다이스 STAY,양양군,"['강원도', '물치항', '양양군']","{'물치항': 0.507, '양양군': 0.455, '강원도': 0.197}",X
아름다운바다콘도텔,양양군,"['인구', '죽도']","{'인구': 0.156, '죽도': 0.156}",X
메종드메르,양양군,"['강원도', '국제공항', '낙산사', '낙산해수욕장', '동해', '수산항', '양양']","{'수산항': 0.418, '양양': 0.235, '동해': 0.209, '낙산해수욕장': 0.159, '국제공항': 0.156, '낙산사': 0.133, '강원도': 0.081}",X
수산모텔,양양군,"['낙산사', '낙산해수욕장', '동해', '양양', '양양국제공항']","{'양양국제공항': 0.245, '낙산해수욕장': 0.117, '낙산사': 0.098, '양양': 0.087, '동해': 0.077}","장애인 주차장, 경사로, 엘리베이터, 장애인 전용 화장실, 장애인 전용 객실, 점자블록, 보조견 동반 가능"
양양국제공항호텔,양양군,"['강원도', '양양', '양양군', '현북면']","{'양양군': 0.305, '현북면': 0.17, '강원도': 0.132, '양양': 0.096}",X
38마린리조트,양양군,"['강원도', '남대천', '동해', '양양군']","{'동해': 0.168, '양양군': 0.151, '남대천': 0.145, '강원도': 0.065}",X
지오 파인트리,양양군,"['강원도', '양양']","{'양양': 0.148, '강원도': 0.102}",X
아담하우스,양양군,"['낙산사', '낙산해수욕장']","{'낙산해수욕장': 0.233, '낙산사': 0.195}",X
숲속의집,양양군,['양양'],{'양양': 0.235},X
몬띠마르펜션,양양군,"['동해', '양양']","{'양양': 0.303, '동해': 0.135}",X
더퍼피즈블루오션,양양군,[],{},X
양양해피플레이스,양양군,['양양'],{'양양': 0.19},X
아쇼카펜션,양양군,"['동해', '양양국제공항']","{'동해': 0.189, '양양국제공항': 0.15}",X
하조대아름들펜션,양양군,['동해'],{'동해': 0.089},X
설악비치펜션,양양군,"['대청봉', '설악']","{'설악': 0.336, '대청봉': 0.156}",X
스테이다로,양양군,"['강원도', '양양']","{'양양': 0.158, '강원도': 0.109}",X
스테이다로2,양양군,"['강원도', '양양']","{'양양': 0.158, '강원도': 0.109}",X
바다둥지모텔&펜션,양양군,"['강원도', '양양']","{'양양': 0.166, '강원도': 0.115}","대중교통 통한 접근 가능, 장애인 전용 화장실"
코게러지,양양군,"['강원도', '낙산사', '남애항', '양양', '오색']","{'남애항': 0.129, '오색': 0.112, '낙산사': 0.088, '양양': 0.077, '강원도': 0.053}",X
더낙산호텔,양양군,"['낙산', '낙산사', '동해']","{'낙산': 0.512, '낙산사': 0.086, '동해': 0.067}",X
브리드호텔 양양,양양군,"['강원도', '양양', '인구', '죽도']","{'양양': 0.331, '죽도': 0.254, '인구': 0.127, '강원도': 0.057}",X
환상의성,양양군,['남대천'],{'남대천': 0.315},X
송이모텔,양양군,"['낙산해수욕장', '양양']","{'낙산해수욕장': 0.408, '양양': 0.302}",X
모비딕 모텔,양양군,"['동해', '동해안']","{'동해안': 0.176, '동해': 0.12}",X
동강시스타,영월군,"['동강', '영월', '원주공항']","{'동강': 0.376, '영월': 0.266, '원주공항': 0.121}","장애인 화장실
휠체어로 이동 가능
엘리베이터로 위층 이동, 장애인 편의시설, 금연객실, 엘리베이터"
강가에 하얀집 펜션,영월군,"['영월', '정선', '청령포', '태백선']","{'영월': 0.365, '태백선': 0.248, '청령포': 0.233, '정선': 0.163}",X
예솔누리,영월군,"['감악산', '구룡산', '대구', '서울', '신림면', '안동', '영월군', '원주', '원주시', '치악산']","{'치악산': 0.243, '감악산': 0.16, '구룡산': 0.16, '대구': 0.16, '신림면': 0.16, '안동': 0.16, '영월군': 0.134, '원주시': 0.13, '서울': 0.115, '원주': 0.109}",X
동강빌리지,영월군,['동강'],{'동강': 0.459},X
휴펜션,영월군,"['강원도', '영월군']","{'영월군': 0.289, '강원도': 0.134}",X
청호정펜션,영월군,"['서강', '선돌', '영월']","{'서강': 0.291, '선돌': 0.291, '영월': 0.213}",X
조견당,영월군,"['강원도', '영월']","{'영월': 0.168, '강원도': 0.089}",X
비브릿지,영월군,"['강원도', '김삿갓면', '영월군']","{'김삿갓면': 0.196, '영월군': 0.175, '강원도': 0.081}","장애인 주차장, 경사로, 장애인 전용 화장실"
산골흙집,영월군,"['강원도', '영월']","{'영월': 0.138, '강원도': 0.073}",X
사람과자연펜션,영월군,['영월'],{'영월': 0.253},X
하늘샘펜션,영월군,"['강원도', '고씨동굴', '동강', '둥굴바위', '법흥사', '봉래산', '서울', '영월', '영월군', '장릉', '청령포']","{'동강': 0.333, '고씨동굴': 0.143, '둥굴바위': 0.143, '법흥사': 0.143, '봉래산': 0.143, '장릉': 0.143, '청령포': 0.134, '영월군': 0.12, '영월': 0.105, '서울': 0.103, '강원도': 0.056}",X
해질녘강물소리,영월군,[],{},X
산수애,영월군,"['강원도', '부산', '서울', '영월']","{'부산': 0.154, '영월': 0.113, '서울': 0.111, '강원도': 0.06}",X
엘솔펜션,영월군,['평창'],{'평창': 0.174},X
동방모텔,영월군,"['백두대간', '영월', '자규루']","{'영월': 0.291, '자규루': 0.132, '백두대간': 0.114}",X
드림힐펜션,영월군,"['김삿갓면', '동강', '영월', '영월군', '왕검성']","{'동강': 0.208, '영월': 0.197, '왕검성': 0.134, '김삿갓면': 0.126, '영월군': 0.112}",X
한우리펜션,영월군,[],{},X
엄둔가자화이트펜션,영월군,"['강원도', '영월', '치악산']","{'치악산': 0.302, '영월': 0.292, '강원도': 0.154}",X
베니키아문막호텔,원주시,"['법천사지', '치악산']","{'법천사지': 0.17, '치악산': 0.13}",x
호텔비즈인,원주시,"['원주', '치악산']","{'치악산': 0.139, '원주': 0.125}","계단 없는 주 출입구
장애인 지원 객실"
시티호텔,원주시,"['원주', '중앙시장']","{'원주': 0.382, '중앙시장': 0.139}",x
호텔 덕영,원주시,[],{},x
호텔인터불고 원주,원주시,"['강원', '원주', '원주시', '치악산', '혁신도시']","{'원주': 0.188, '혁신도시': 0.13, '원주시': 0.112, '치악산': 0.105, '강원': 0.092}","장애인 주차장 있음, 출입구까지 턱이 없어 휠체어 접근 가능함, 엘리베이터 있음, 장애인 화장실 있음(1층, 남녀공용), 점자블록 있음_시각장애인 편의시설, 안내요원 있음"
오크밸리,원주시,[],{},X
베니키아 호텔 비즈인,원주시,"['무실동', '원주', '원주시', '치악산']","{'원주': 0.381, '무실동': 0.279, '원주시': 0.227, '치악산': 0.213}","장애인 주차장 있음(지상 주차장), 주차장에서 출입구까지 턱이 없어 휠체어 접근 가능함(자동문), 엘리베이터 있음, 장애인 화장실 있음(2층), 점자블록 있음(엘리베이터 앞)"
별무인호텔,원주시,[],{},X
클라우드펜션민박,원주시,"['강원', '원주']","{'원주': 0.155, '강원': 0.152}",X
또아리하우스,원주시,['원주'],{'원주': 0.686},X
오키드호텔,원주시,"['강원도', '단계동', '원주', '원주시']","{'단계동': 0.235, '원주시': 0.191, '원주': 0.16, '강원도': 0.091}",X
오크카운티펜션,원주시,"['강원도', '원주']","{'원주': 0.233, '강원도': 0.066}",X
유알풀빌라펜션,원주시,[],{},X
솔치송어파티펜션,원주시,[],{},X
하이봉자,원주시,"['강원도', '원주']","{'원주': 0.273, '강원도': 0.078}",X
비안단테펜션 원주점,원주시,"['강원도', '원주']","{'원주': 0.105, '강원도': 0.06}",X
보스코아호텔,원주시,"['강원도', '원주', '치악산', '혁신도시']","{'원주': 0.205, '혁신도시': 0.141, '강원도': 0.117, '치악산': 0.114}",X
오크밸리 골프빌리지사우스콘도,원주시,"['강원도', '원주시', '지정면']","{'지정면': 0.107, '원주시': 0.087, '강원도': 0.042}",X
호암산장,원주시,"['섬강', '한강']","{'섬강': 0.224, '한강': 0.211}",X
원모텔,원주시,"['강원도', '원주', '원주시']","{'원주시': 0.237, '원주': 0.198, '강원도': 0.113}","출입구까지 경사로가 설치되어 있음(수동문), 엘리베이터 있음, 장애인 객실 있음(1실)"
스피디움호텔,인제군,"['설악산', '소양호', '인제']","{'인제': 0.229, '소양호': 0.156, '설악산': 0.081}","휠체어 이용 가능
장애인 지원 객실
계단 없는 주 출입구"
꿈동산펜션,인제군,"['동해', '설악산']","{'설악산': 0.161, '동해': 0.156}",X
아웃도어패밀리,인제군,['인제읍'],{'인제읍': 0.178},X
맑은물소리 펜션,인제군,"['강원도', '방태산', '인제', '한계령']","{'방태산': 0.184, '한계령': 0.184, '인제': 0.15, '강원도': 0.08}",X
강변에서 황토콘도,인제군,"['인제', '인제군']","{'인제군': 0.19, '인제': 0.175}",X
설산펜션,인제군,"['미시령', '백담사', '속초', '향로봉']","{'백담사': 0.319, '향로봉': 0.178, '미시령': 0.159, '속초': 0.083}",X
방태산황토펜션,인제군,"['강원', '곰배령', '방태산', '인제군']","{'방태산': 0.168, '곰배령': 0.162, '인제군': 0.149, '강원': 0.125}",X
들꽃나라펜션,인제군,"['방태산', '인제']","{'방태산': 0.297, '인제': 0.121}",X
갤러리&펜션 풍경소리,인제군,"['곰배령', '설악산', '태백산맥']","{'곰배령': 0.24, '태백산맥': 0.139, '설악산': 0.072}",X
솔방울펜션,인제군,[],{},X
가리벨리 관광펜션(가리벨리관광펜션휴양타운),인제군,"['백담사', '설악산', '속초', '양양', '오색', '인제', '인제군', '인제스피디움', '한계령']","{'인제스피디움': 0.196, '백담사': 0.187, '한계령': 0.187, '오색': 0.17, '인제군': 0.165, '인제': 0.153, '양양': 0.117, '설악산': 0.108, '속초': 0.097}",X
인제호텔(INJE HOTEL),인제군,"['강원도', '인제', '인제읍']","{'인제': 0.562, '인제읍': 0.172, '강원도': 0.074}","경사로, 엘리베이터, 장애인 전용 화장실, 장애인 전용 객실"
라이프위드도그,인제군,"['서울', '인제군']","{'인제군': 0.173, '서울': 0.079}",X
보리네민박,인제군,"['인제스피디움', '자작나무숲']","{'자작나무숲': 0.286, '인제스피디움': 0.269}",X
맑은물리조트,인제군,[],{},X
동국대학교 만해마을,인제군,"['강원도', '동해안', '설악', '인제군']","{'인제군': 0.107, '동해안': 0.099, '설악': 0.087, '강원도': 0.052}","장애인 주차장, 경사로, 장애인 전용 엘리베이터, 장애인 전용 화장실, 장애인 전용 객실"
호텔 스카이락,인제군,"['강원도', '인제', '인제읍']","{'인제읍': 0.247, '인제': 0.202, '강원도': 0.107}","장애인 주차장, 대중교통 통한 접근 가능, 경사로, 장애인 전용 화장실"
플로팅웨일 설악도적폭포스테이,인제군,"['미시령', '설악산', '속초']","{'미시령': 0.141, '설악산': 0.081, '속초': 0.073}",X
산악코스텔,인제군,"['인제', '인제군']","{'인제군': 0.146, '인제': 0.135}",X
진동너와촌 해마루펜션,인제군,"['곰배령', '동해안', '백두대간', '속초', '양양']","{'곰배령': 0.245, '백두대간': 0.245, '동해안': 0.104, '양양': 0.08, '속초': 0.066}",X
진동리의아침,인제군,"['강원도', '곰배령', '인제군']","{'곰배령': 0.145, '인제군': 0.133, '강원도': 0.065}",X
인제관광농원,인제군,['인제'],{'인제': 0.395},X
숲속힐링이야기,인제군,"['백담사', '설악', '설악산', '속초', '원통', '인제']","{'인제': 0.474, '설악산': 0.166, '원통': 0.161, '백담사': 0.145, '설악': 0.104, '속초': 0.075}",X
펜션포유,인제군,['인제'],{'인제': 0.251},X
하이원 그랜드 호텔카지노,정선군,"['강원랜드', '사북역']","{'사북역': 0.202, '강원랜드': 0.164}","금연 객실 이용 가능
엘리베이터
지정 흡연 구역"
하이원 팰리스호텔,정선군,"['고한읍', '정선군']","{'고한읍': 0.17, '정선군': 0.147}","엘리베이터, 장애인용 편의시설/서비스"
퍼시먼 관광호텔,정선군,"['강원랜드', '민둥산', '정선', '하이원리조트']","{'민둥산': 0.316, '하이원리조트': 0.273, '강원랜드': 0.24, '정선': 0.208}",x
골든메이플관광호텔,정선군,"['남면', '정선군']","{'남면': 0.204, '정선군': 0.185}","금연 숙소
엘리베이터
장애인용 편의 시설/서비"
엘스관광호텔,정선군,['정선'],{'정선': 0.224},"엘리베이터, 금연 객실"
하이원리조트,정선군,"['강원랜드', '사북역', '정선']","{'사북역': 0.193, '강원랜드': 0.157, '정선': 0.135}","금연 객실 이용 가능
엘리베이터
엘리베이터로 이동 가능"
메이힐스리조트,정선군,"['강원랜드', '만항재', '정선']","{'정선': 0.2, '강원랜드': 0.154, '만항재': 0.095}","장애인 편의시설
장애인 지원 객실
계단 난간
계단 없는 주 출입구
휠체어 이용 가능
복도에 시각 경보기"
하이캐슬리조트,정선군,"['강원랜드', '정선', '하이원리조트']","{'하이원리조트': 0.127, '강원랜드': 0.111, '정선': 0.096}",x
파크로쉬 리조트,정선군,"['강릉역', '레일바이크', '양양국제공항', '오대산', '용평리조트', '월정사', '정선']","{'양양국제공항': 0.108, '강릉역': 0.102, '월정사': 0.1, '오대산': 0.096, '레일바이크': 0.093, '용평리조트': 0.092, '정선': 0.09}","장애인 편의시설, 금연객실, 엘리베이터, 장애인 욕실, 항알러지 베개, 장애인 화장실,점자 안내판
장애인 지원 객실"
강이흐르는마을 펜션,정선군,"['강원도', '동강', '레일바이크', '정선', '정선군', '조양강']","{'조양강': 0.426, '정선': 0.397, '동강': 0.235, '정선군': 0.123, '레일바이크': 0.103, '강원도': 0.059}",X
아미띠에펜션,정선군,['강원랜드'],{'강원랜드': 0.18},X
스타호텔,정선군,['강원랜드'],{'강원랜드': 0.196},X
흙과소나무,정선군,['강원도'],{'강원도': 0.112},X
정선황토펜션,정선군,"['동강', '정선']","{'동강': 0.269, '정선': 0.228}",X
코코펜션(구 백가지 나무이야기),정선군,['정선군'],{'정선군': 0.339},X
갤럭시 모텔,정선군,['정선'],{'정선': 0.64},X
상유재,정선군,"['강원', '정선', '정선아리랑']","{'정선': 0.313, '정선아리랑': 0.223, '강원': 0.158}",X
강과 소나무,정선군,"['강원도', '정선군']","{'정선군': 0.301, '강원도': 0.144}",X
모래불 펜션(모래불 스테이),정선군,"['강원', '레일바이크', '정선', '정선아리랑']","{'정선': 0.381, '레일바이크': 0.263, '강원': 0.257, '정선아리랑': 0.181}",X
백두대간 약초나라,정선군,['백두대간'],{'백두대간': 0.124},X
마을호텔18번가,정선군,"['고한리', '고한읍']","{'고한리': 0.087, '고한읍': 0.081}",X
