숙소명,포함된_고유명사(TF-IDF),장애인편의시설
호텔포레,"{'속초시': 0.133, '대포항': 0.122, '속초': 0.088}",X
속초 관광호텔 베리트,{},"엘리베이터 있음, 장애인 화장실 있음 (건물 2층 카페 앞에), 점자블록 있음, 안내요원 있음, 큰활자홍보물 있음, 점자홍보물 있음"
모아모텔,"{'속초': 0.374, '장사항': 0.179}",X
시나브로 모텔,"{'조양동': 0.205, '속초시': 0.169}","
엘리베이터 있음.(2대)"
등대비치 레지던스 호텔[한국관광 품질인증/Korea Quality],"{'속초시': 0.216, '설악산': 0.157, '동해': 0.152, '강원도': 0.118}",X
에이스모텔,{'장사항': 0.317},X
조광모텔,"{'속초': 0.072, '강원도': 0.06}",X
청초비치 모텔,"{'설악산': 0.142, '동해': 0.137, '속초': 0.128, '강원': 0.091}",엘리베이터 있음
해맞이모텔,{'속초': 0.306},X
해피하우스,{'속초': 0.127},X
뉴스타트설악리조트[한국관광 품질인증/Korea Quality],"{'설악산': 0.346, '속초': 0.313, '대포항': 0.145, '설악': 0.144, '낙산사': 0.142, '강원도': 0.087}","장애인 전용 주차구역 있음, 출입구까지 경사로가 설치되어 있음, 휠체어대여가능"
초원리조텔,"{'설악산': 0.224, '신흥사': 0.217}","출입구까지 경사로가 설치되어 있음 ,장애인 객실 있음"
